Id,Category
0,16
1,22
2,1
3,3
4,11
5,10
6,15
7,16
8,11
9,14
10,3
11,3
12,7
13,29
14,18
15,27
16,2
17,27
18,13
19,20
20,20
21,3
22,13
23,1
24,25
25,0
26,17
27,17
28,28
29,1
30,28
31,7
32,3
33,28
34,26
35,29
36,18
37,4
38,8
39,27
40,10
41,14
42,3
43,28
44,29
45,28
46,19
47,11
48,17
49,9
50,10
51,17
52,11
53,7
54,25
55,21
56,9
57,17
58,14
59,15
60,27
61,10
62,16
63,27
64,4
65,3
66,15
67,4
68,10
69,13
70,14
71,17
72,17
73,1
74,0
75,7
76,25
77,7
78,5
79,7
80,4
81,15
82,9
83,13
84,15
85,11
86,26
87,15
88,27
89,27
90,3
91,3
92,14
93,11
94,8
95,21
96,26
97,17
98,23
99,16
100,14
101,10
102,17
103,15
104,11
105,22
106,15
107,16
108,18
109,23
110,9
111,3
112,29
113,21
114,6
115,3
116,3
117,21
118,9
119,7
120,28
121,29
122,10
123,13
124,23
125,3
126,7
127,11
128,29
129,15
130,26
131,22
132,17
133,14
134,12
135,4
136,6
137,29
138,17
139,17
140,25
141,22
142,7
143,3
144,13
145,7
146,3
147,5
148,17
149,29
150,20
151,27
152,27
153,0
154,13
155,16
156,18
157,8
158,28
159,4
160,15
161,18
162,0
163,29
164,16
165,4
166,13
167,3
168,3
169,10
170,28
171,19
172,10
173,6
174,7
175,16
176,3
177,3
178,17
179,15
180,13
181,21
182,3
183,22
184,23
185,22
186,29
187,25
188,10
189,13
190,23
191,6
192,3
193,8
194,28
195,16
196,3
197,4
198,13
199,26
200,16
201,7
202,29
203,19
204,16
205,17
206,21
207,13
208,28
209,28
210,10
211,15
212,27
213,16
214,12
215,9
216,12
217,10
218,3
219,3
220,6
221,27
222,8
223,12
224,27
225,14
226,17
227,26
228,10
229,27
230,5
231,23
232,3
233,13
234,12
235,13
236,0
237,3
238,2
239,17
240,23
241,21
242,22
243,8
244,6
245,22
246,2
247,17
248,16
249,11
250,27
251,4
252,11
253,14
254,9
255,12
256,3
257,7
258,7
259,11
260,4
261,14
262,7
263,22
264,2
265,7
266,5
267,21
268,17
269,16
270,11
271,21
272,25
273,28
274,8
275,6
